$0;1753064332960374200;1.14;KIEKER-SINGLETON;4180L-212561-W;1;false;0;NANOSECONDS;0
$1;1753064364299248100;public org.mybatis.jpetstore.domain.Product org.mybatis.jpetstore.domain.Item.getProduct();<no-session-id>;676806581500772409;1753064364299243400;1753064364299245300;4180L-212561-W;38;2
$1;1753064364299285500;public void org.mybatis.jpetstore.domain.Product.setDescription(java.lang.String);<no-session-id>;676806581500772409;1753064364299280800;1753064364299282700;4180L-212561-W;39;2
$1;1753064364299338900;public org.mybatis.jpetstore.domain.Product org.mybatis.jpetstore.domain.Item.getProduct();<no-session-id>;676806581500772409;1753064364299322000;1753064364299323800;4180L-212561-W;40;2
$1;1753064364299380200;public void org.mybatis.jpetstore.domain.Product.setCategoryId(java.lang.String);<no-session-id>;676806581500772409;1753064364299375500;1753064364299377400;4180L-212561-W;41;2
$1;1753064364299422700;public void org.mybatis.jpetstore.domain.Item.setStatus(java.lang.String);<no-session-id>;676806581500772409;1753064364299416100;1753064364299418000;4180L-212561-W;42;2
$1;1753064364299463400;public void org.mybatis.jpetstore.domain.Item.setAttribute1(java.lang.String);<no-session-id>;676806581500772409;1753064364299458600;1753064364299460500;4180L-212561-W;43;2
$1;1753064364311130400;public java.util.List org.mybatis.jpetstore.service.CatalogService.getItemListByProduct(java.lang.String);<no-session-id>;676806581500772409;1753064364284098000;1753064364311090300;4180L-212561-W;1;1
$1;1753064364313278500;public org.mybatis.jpetstore.domain.Product.<init>();<no-session-id>;676806581500772409;1753064364313260400;1753064364313269500;4180L-212561-W;45;2
$1;1753064364313571900;public void org.mybatis.jpetstore.domain.Product.setProductId(java.lang.String);<no-session-id>;676806581500772409;1753064364313563000;1753064364313566300;4180L-212561-W;46;2
$1;1753064364313623700;public void org.mybatis.jpetstore.domain.Product.setName(java.lang.String);<no-session-id>;676806581500772409;1753064364313618100;1753064364313620800;4180L-212561-W;47;2
$1;1753064364313671000;public void org.mybatis.jpetstore.domain.Product.setDescription(java.lang.String);<no-session-id>;676806581500772409;1753064364313666000;1753064364313668500;4180L-212561-W;48;2
